recipe_id,measurement_qty,measurement_id,ingredient
0,1,clove,garlic
0,1,whole,egg yolk
0,1,tsp,white wine vinegar
0,0.5,tsp,Dijon mustard
0,0.5,tsp,salt
0,0.5,whole,lemon
0,0.33,cup,vegetable oil
0,2,tbsp,capers
0,1,bunch,carrots
0,4,whole,fennel
0,12,whole,asparagus
0,8,whole,zucchini
0,10,whole,leeks
0,2,tbsp,dill
0,2.5,cup,white wine
0,1,cup,olive oil
0,0.66,cup,lemon juice
0,2,whole,bay leaves
0,0.5,whole,onion
0,2,whole,celery stalks
0,1,tsp,salt
1,2,lb,carrots
1,0.33,cup,olive oil
1,1,whole,onion
1,1,tsp,sugar
1,3,clove,garlic
1,2,whole,green chiles
1,1,whole,green onion
1,0.125,tsp,ground cloves
1,0.25,tsp,ground ginger
1,0.5,tsp,ground coriander
1,0.75,tsp,ground cinnamon
1,1,tsp,sweet paprika
1,1,tsp,ground cumin
1,1,tbsp,white wine vinegar
1,1,tbsp,preserved lemon
1,2.5,cup,cilantro
1,0.5,cup,greek yogurt
2,4,whole,parsnips
2,4,whole,red onion
2,0.66,cup,olive oil
2,4,sprigs,thyme
2,2,sprigs,rosemary
2,1,head,garlic
2,,to taste,salt
2,,to taste,black pepper
2,1.25,lb,sweet potatoes
2,30,whole,cherry tomatoes
2,2,tbsp,lemon zest
2,4,tbsp,capers
2,0.5,tbsp,maple syrup
2,0.5,tsp,Dijon mustard
2,1,tbsp,sesame seeds
3,8,whole,cardamom pods
3,1,tbsp,cumin seeds
3,1,tbsp,coriander seeds
3,0.5,tsp,ground cloves
3,0.25,tsp,ground tumeric
3,1,tsp,sweet paprika
3,1,tsp,ground cinnamon
3,2,tbsp,vegetable oil
3,12,whole,shallots
3,0.5,tsp,brown mustard seeds
3,0.5,tsp,fenugreek seeds
3,25,whole,curry leaves
3,2,tbsp,ginger
3,1,whole,red chile
3,3,whole,tomatoes
3,0.25,cup,cider vinegar
3,1.75,cup,water
3,1,tbsp,sugar
3,,to taste,salt
3,2.5,cup,waxy potatoes
3,2,whole,red bell peppers
3,2.5,cup,sweet potatoes
3,,to taste,mint
4,15,whole,quail eggs
4,1,cup,peas
4,1.75,lb,waxy potatoes
4,1,cup,basil
4,0.5,cup,parsley
4,0.33,cup,pine nuts
4,0.5,cup,Parmesan
4,2,clove,garlic
4,1,cup,olive oil
4,0.5,tsp,white wine vinegar
4,1,bunch,mint
4,,to taste,salt
4,,to taste,black pepper
5,1.5,cup,cherry tomatoes
5,2,tbsp,olive oil
5,,to taste,salt
5,,to taste,black pepper
5,1,lb,waxy potatoes
5,1,whole,onion
5,3,tbsp,sugar
5,2,tsp,butter
5,3,sprigs,oregano
5,5,oz,goat cheese
5,1,sheet,puff pastry
